epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.885,0.29536,3.64216,1.06343,0.59052,0.39562,0.41092,0.37902,0.40314,2.35108,0.71929,0.00332536,0.00332536,0.0700718
2,212.179,0.19536,1.76057,0.94936,0.73153,0.54689,0.63775,0.62637,0.23215,1.77048,0.47309,0.00665615,0.00665615,0.0400692
3,313.578,0.2183,1.35336,0.95191,0.59715,0.37308,0.38199,0.35403,0.39417,2.98252,0.68913,0.00997678,0.00997678,0.0100565
4,415.674,0.22038,1.20355,0.94858,0.53594,0.56058,0.55457,0.50178,0.42605,2.18043,0.6756,0.00996569,0.00996569,0.00996569
5,517.773,0.18702,0.97621,0.93276,0.69554,0.66246,0.72659,0.65216,0.33327,1.64911,0.57149,0.00993906,0.00993906,0.00993906
6,619.56,0.16969,0.85048,0.9289,0.64151,0.56409,0.63644,0.62531,0.23644,1.92197,0.47483,0.00990489,0.00990489,0.00990489
7,721.461,0.15455,0.74937,0.9227,0.76511,0.6948,0.78752,0.78284,0.14267,1.27801,0.35288,0.00986323,0.00986323,0.00986323
8,828.589,0.14396,0.69465,0.91798,0.81946,0.70688,0.78695,0.7756,0.2126,1.21215,0.43304,0.00981415,0.00981415,0.00981415
9,935.857,0.13679,0.64619,0.91655,0.80505,0.68236,0.79569,0.78186,0.22911,1.23756,0.45001,0.00975773,0.00975773,0.00975773
10,1042.38,0.13133,0.61309,0.91347,0.77494,0.63959,0.72861,0.70334,0.24796,1.71833,0.4647,0.00969405,0.00969405,0.00969405
11,1150.12,0.12498,0.55966,0.91328,0.82202,0.73273,0.81735,0.79005,0.2273,1.14803,0.43195,0.0096232,0.0096232,0.0096232
12,1257.59,0.12138,0.55678,0.91124,0.84787,0.74949,0.83503,0.83092,0.175,1.01619,0.37347,0.00954531,0.00954531,0.00954531
13,1365.47,0.11606,0.54268,0.90998,0.78569,0.67638,0.777,0.75991,0.18066,1.31922,0.39562,0.00946048,0.00946048,0.00946048
14,1473.26,0.11371,0.51906,0.90925,0.85897,0.77306,0.84762,0.84243,0.16363,0.96282,0.37681,0.00936886,0.00936886,0.00936886
15,1580.54,0.10939,0.50781,0.90679,0.88433,0.77871,0.85871,0.85336,0.14935,0.83809,0.35344,0.00927057,0.00927057,0.00927057
